score,judge,athlete,item,judge_athlete,judge_item,athlete_item
9,1,women1,Composition,1,1,1
8,2,women1,Composition,26,6,1
9.5,3,women1,Composition,51,11,1
8.5,4,women1,Composition,76,16,1
8.75,5,women1,Composition,101,21,1
8.75,6,women1,Composition,126,26,1
8.5,7,women1,Composition,151,31,1
9.25,8,women1,Composition,176,36,1
8.75,9,women1,Composition,201,41,1
9.25,1,women1,Interpretation,1,2,26
8,2,women1,Interpretation,26,7,26
9.5,3,women1,Interpretation,51,12,26
8.75,4,women1,Interpretation,76,17,26
8.75,5,women1,Interpretation,101,22,26
9,6,women1,Interpretation,126,27,26
8.75,7,women1,Interpretation,151,32,26
9,8,women1,Interpretation,176,37,26
9,9,women1,Interpretation,201,42,26
9.5,1,women1,Performance,1,3,51
8.75,2,women1,Performance,26,8,51
9.5,3,women1,Performance,51,13,51
8.75,4,women1,Performance,76,18,51
8.5,5,women1,Performance,101,23,51
9,6,women1,Performance,126,28,51
9,7,women1,Performance,151,33,51
9.25,8,women1,Performance,176,38,51
9.25,9,women1,Performance,201,43,51
9.25,1,women1,Skating Skills,1,4,76
8.75,2,women1,Skating Skills,26,9,76
9.75,3,women1,Skating Skills,51,14,76
8.75,4,women1,Skating Skills,76,19,76
9,5,women1,Skating Skills,101,24,76
9,6,women1,Skating Skills,126,29,76
9,7,women1,Skating Skills,151,34,76
9,8,women1,Skating Skills,176,39,76
9,9,women1,Skating Skills,201,44,76
8.75,1,women1,Transitions,1,5,101
7.75,2,women1,Transitions,26,10,101
9.25,3,women1,Transitions,51,15,101
8.5,4,women1,Transitions,76,20,101
8.5,5,women1,Transitions,101,25,101
8.5,6,women1,Transitions,126,30,101
8.25,7,women1,Transitions,151,35,101
8.75,8,women1,Transitions,176,40,101
8.75,9,women1,Transitions,201,45,101
7.75,1,women103,Composition,2,1,2
8.25,2,women103,Composition,27,6,2
7.5,3,women103,Composition,52,11,2
7.75,4,women103,Composition,77,16,2
7.75,5,women103,Composition,102,21,2
8.25,6,women103,Composition,127,26,2
8,7,women103,Composition,152,31,2
8,8,women103,Composition,177,36,2
8.25,9,women103,Composition,202,41,2
7.5,1,women103,Interpretation,2,2,27
7.75,2,women103,Interpretation,27,7,27
7.75,3,women103,Interpretation,52,12,27
7.75,4,women103,Interpretation,77,17,27
7.5,5,women103,Interpretation,102,22,27
8.25,6,women103,Interpretation,127,27,27
8.25,7,women103,Interpretation,152,32,27
8.25,8,women103,Interpretation,177,37,27
8.5,9,women103,Interpretation,202,42,27
7.25,1,women103,Performance,2,3,52
