score,judge,athlete,athlete_item,judge_athlete,judge_item,Element
0,1,women1,28,1,7,=2A+3T
1,2,women1,28,26,62,=2A+3T
-2,3,women1,28,51,117,=2A+3T
-1,4,women1,28,76,172,=2A+3T
-4,5,women1,28,101,227,=2A+3T
-2,6,women1,28,126,282,=2A+3T
-2,7,women1,28,151,337,=2A+3T
-2,8,women1,28,176,392,=2A+3T
0,9,women1,28,201,447,=2A+3T
4,1,women1,114,1,28,=3Lz+1Eu+3S
2,2,women1,114,26,83,=3Lz+1Eu+3S
3,3,women1,114,51,138,=3Lz+1Eu+3S
3,4,women1,114,76,193,=3Lz+1Eu+3S
0,5,women1,114,101,248,=3Lz+1Eu+3S
3,6,women1,114,126,303,=3Lz+1Eu+3S
2,7,women1,114,151,358,=3Lz+1Eu+3S
2,8,women1,114,176,413,=3Lz+1Eu+3S
2,9,women1,114,201,468,=3Lz+1Eu+3S
2,1,women1,160,1,40,=4F
1,2,women1,160,26,95,=4F
3,3,women1,160,51,150,=4F
1,4,women1,160,76,205,=4F
2,5,women1,160,101,260,=4F
2,6,women1,160,126,315,=4F
1,7,women1,160,151,370,=4F
3,8,women1,160,176,425,=4F
3,9,women1,160,201,480,=4F
-1,1,women1,163,1,42,=4Lz
-2,2,women1,163,26,97,=4Lz
-1,3,women1,163,51,152,=4Lz
-1,4,women1,163,76,207,=4Lz
-1,5,women1,163,101,262,=4Lz
0,6,women1,163,126,317,=4Lz
-1,7,women1,163,151,372,=4Lz
-1,8,women1,163,176,427,=4Lz
1,9,women1,163,201,482,=4Lz
4,1,women1,164,1,43,=4Lz+3T
3,2,women1,164,26,98,=4Lz+3T
3,3,women1,164,51,153,=4Lz+3T
2,4,women1,164,76,208,=4Lz+3T
2,5,women1,164,101,263,=4Lz+3T
2,6,women1,164,126,318,=4Lz+3T
2,7,women1,164,151,373,=4Lz+3T
0,8,women1,164,176,428,=4Lz+3T
2,9,women1,164,201,483,=4Lz+3T
4,1,women1,165,1,44,=4S
4,2,women1,165,26,99,=4S
4,3,women1,165,51,154,=4S
3,4,women1,165,76,209,=4S
3,5,women1,165,101,264,=4S
3,6,women1,165,126,319,=4S
1,7,women1,165,151,374,=4S
2,8,women1,165,176,429,=4S
4,9,women1,165,201,484,=4S
-2,1,women1,167,1,45,=4T
-3,2,women1,167,26,100,=4T
-3,3,women1,167,51,155,=4T
-3,4,women1,167,76,210,=4T
-2,5,women1,167,101,265,=4T
-2,6,women1,167,126,320,=4T
-3,7,women1,167,151,375,=4T
-2,8,women1,167,176,430,=4T
-3,9,women1,167,201,485,=4T
3,1,women1,170,1,47,=CCoSp
2,2,women1,170,26,102,=CCoSp
3,3,women1,170,51,157,=CCoSp
3,4,women1,170,76,212,=CCoSp
2,5,women1,170,101,267,=CCoSp
3,6,women1,170,126,322,=CCoSp
3,7,women1,170,151,377,=CCoSp
3,8,women1,170,176,432,=CCoSp
2,9,women1,170,201,487,=CCoSp
3,1,women1,195,1,48,=ChSq
3,2,women1,195,26,103,=ChSq
4,3,women1,195,51,158,=ChSq
3,4,women1,195,76,213,=ChSq
2,5,women1,195,101,268,=ChSq
3,6,women1,195,126,323,=ChSq
3,7,women1,195,151,378,=ChSq
