score,judge,athlete,item,judge_athlete,judge_item,athlete_item
0,1,women1,=2A+3T,1,7,28
1,2,women1,=2A+3T,26,62,28
-2,3,women1,=2A+3T,51,117,28
-1,4,women1,=2A+3T,76,172,28
-4,5,women1,=2A+3T,101,227,28
-2,6,women1,=2A+3T,126,282,28
-2,7,women1,=2A+3T,151,337,28
-2,8,women1,=2A+3T,176,392,28
0,9,women1,=2A+3T,201,447,28
4,1,women1,=3Lz+1Eu+3S,1,28,114
2,2,women1,=3Lz+1Eu+3S,26,83,114
3,3,women1,=3Lz+1Eu+3S,51,138,114
3,4,women1,=3Lz+1Eu+3S,76,193,114
0,5,women1,=3Lz+1Eu+3S,101,248,114
3,6,women1,=3Lz+1Eu+3S,126,303,114
2,7,women1,=3Lz+1Eu+3S,151,358,114
2,8,women1,=3Lz+1Eu+3S,176,413,114
2,9,women1,=3Lz+1Eu+3S,201,468,114
2,1,women1,=4F,1,40,160
1,2,women1,=4F,26,95,160
3,3,women1,=4F,51,150,160
1,4,women1,=4F,76,205,160
2,5,women1,=4F,101,260,160
2,6,women1,=4F,126,315,160
1,7,women1,=4F,151,370,160
3,8,women1,=4F,176,425,160
3,9,women1,=4F,201,480,160
-1,1,women1,=4Lz,1,42,163
-2,2,women1,=4Lz,26,97,163
-1,3,women1,=4Lz,51,152,163
-1,4,women1,=4Lz,76,207,163
-1,5,women1,=4Lz,101,262,163
0,6,women1,=4Lz,126,317,163
-1,7,women1,=4Lz,151,372,163
-1,8,women1,=4Lz,176,427,163
1,9,women1,=4Lz,201,482,163
4,1,women1,=4Lz+3T,1,43,164
3,2,women1,=4Lz+3T,26,98,164
3,3,women1,=4Lz+3T,51,153,164
2,4,women1,=4Lz+3T,76,208,164
2,5,women1,=4Lz+3T,101,263,164
2,6,women1,=4Lz+3T,126,318,164
2,7,women1,=4Lz+3T,151,373,164
0,8,women1,=4Lz+3T,176,428,164
2,9,women1,=4Lz+3T,201,483,164
4,1,women1,=4S,1,44,165
4,2,women1,=4S,26,99,165
4,3,women1,=4S,51,154,165
3,4,women1,=4S,76,209,165
3,5,women1,=4S,101,264,165
3,6,women1,=4S,126,319,165
1,7,women1,=4S,151,374,165
2,8,women1,=4S,176,429,165
4,9,women1,=4S,201,484,165
-2,1,women1,=4T,1,45,167
-3,2,women1,=4T,26,100,167
-3,3,women1,=4T,51,155,167
-3,4,women1,=4T,76,210,167
-2,5,women1,=4T,101,265,167
-2,6,women1,=4T,126,320,167
-3,7,women1,=4T,151,375,167
-2,8,women1,=4T,176,430,167
-3,9,women1,=4T,201,485,167
3,1,women1,=CCoSp,1,47,170
2,2,women1,=CCoSp,26,102,170
3,3,women1,=CCoSp,51,157,170
3,4,women1,=CCoSp,76,212,170
2,5,women1,=CCoSp,101,267,170
3,6,women1,=CCoSp,126,322,170
3,7,women1,=CCoSp,151,377,170
3,8,women1,=CCoSp,176,432,170
2,9,women1,=CCoSp,201,487,170
3,1,women1,=ChSq,1,48,195
3,2,women1,=ChSq,26,103,195
4,3,women1,=ChSq,51,158,195
3,4,women1,=ChSq,76,213,195
2,5,women1,=ChSq,101,268,195
3,6,women1,=ChSq,126,323,195
3,7,women1,=ChSq,151,378,195
3,8,women1,=ChSq,176,433,195
1,9,women1,=ChSq,201,488,195
3,1,women1,=FCCoSp,1,49,220
3,2,women1,=FCCoSp,26,104,220
4,3,women1,=FCCoSp,51,159,220
2,4,women1,=FCCoSp,76,214,220
3,5,women1,=FCCoSp,101,269,220
3,6,women1,=FCCoSp,126,324,220
3,7,women1,=FCCoSp,151,379,220
3,8,women1,=FCCoSp,176,434,220
3,9,women1,=FCCoSp,201,489,220
3,1,women1,=FCSp,1,51,240
3,2,women1,=FCSp,26,106,240
3,3,women1,=FCSp,51,161,240
3,4,women1,=FCSp,76,216,240
2,5,women1,=FCSp,101,271,240
3,6,women1,=FCSp,126,326,240
2,7,women1,=FCSp,151,381,240
2,8,women1,=FCSp,176,436,240
3,9,women1,=FCSp,201,491,240
4,1,women1,=StSq,1,55,270
4,2,women1,=StSq,26,110,270
4,3,women1,=StSq,51,165,270
3,4,women1,=StSq,76,220,270
2,5,women1,=StSq,101,275,270
3,6,women1,=StSq,126,330,270
4,7,women1,=StSq,151,385,270
3,8,women1,=StSq,176,440,270
3,9,women1,=StSq,201,495,270
0,1,women105,=1S,2,3,3
